Op,FName,Index,GMS v12,,GMS v83,,GMS v87,,GMS v92,,GMS v95,,GMS v111,,JMS v185
ANTI_MACRO_ITEM_USE,CWvsContext::SendAntiMacroItemUseRequest,,0x000,103,0x067,106,0x06A,114,0x072,115,0x073,,0x000,98,0x062
ANTI_MACRO_TARGET,CUserLocal::DoAntiMacroSkill,,0x000,104,0x068,107,0x06B,115,0x073,116,0x074,,0x000,99,0x063
ANTI_MACRO_RESULT,"CUIAntiMacro::SetRet
CUIAdminAntiMacro::SetRet",,0x000,105,0x069,108,0x06C,116,0x074,117,0x075,,0x000,100,0x064
CLAIM_REQUEST,CWvsContext::SendClaimRequest,58,0x03A,106,0x06A,109,0x06D,117,0x075,118,0x076,,0x000,101,0x065
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
QUEST_ACTION,"CQuest::StartQuest
CQuest::OnCompleteQuestFailed
CWvsContext::ResignQuest",,0x000,107,0x06B,110,0x06E,118,0x076,119,0x077,184,0x0B8,102,0x066
,,,0x000,,0x000,,0x000,,0x000,,0x000,185,0x0B9,,0x000
USER_CALC_DAMAGE_STAT_SET_REQUEST,"CWvsContext::OnTemporaryStatReset
CWvsContext::CheckDarkForce
CWvsContext::CheckDragonFury
CWvsContext::OnTemporaryStatSet",,0x000,108,0x06C,111,0x06F,119,0x077,120,0x078,186,0x0BA,103,0x067
GRENADE_EFFECT,CUserLocal::ThrowGrenade,,0x000,109,0x06D,112,0x070,120,0x078,121,0x079,187,0x0BB,104,0x068
SKILL_MACRO,CMacroSysMan::FlushToSvr,,0x000,110,0x06E,113,0x071,121,0x079,122,0x07A,188,0x0BC,105,0x069
NPC_ITEM_USE_REQUEST,CWvsContext::SendSelectNpcItemUseRequest,,0x000,111,0x06F,114,0x072,122,0x07A,123,0x07B,189,0x0BD,106,0x06A
LOTTERY_ITEM_USE_REQUEST,CWvsContext::SendLotteryItemUseRequest,,0x000,112,0x070,115,0x073,123,0x07B,124,0x07C,190,0x0BE,107,0x06B
MAKER_SKILL,CUIItemMaker::RequestItemMake,,0x000,113,0x071,116,0x074,124,0x07C,125,0x07D,191,0x0BF,108,0x06C
SUE_CHARACTER,CField::SendChatMsgSlash,,0x000,114,0x072,117,0x075,125,0x07D,126,0x07E,192,0x0C0,,0x000
USE_GACHAPON_BOX_ITEM,CWvsContext::SendUseBoxGachaponItemRequest,,0x000,115,0x073,118,0x076,126,0x07E,127,0x07F,193,0x0C1,119,0x077
USE_REMOTE,CWvsContext::SendUseGachaponRemoteRequest,,0x000,116,0x074,119,0x077,127,0x07F,128,0x080,194,0x0C2,,0x000
WATER_OF_LIFE,CWvsContext::SendWaterOfLife,,0x000,117,0x075,120,0x078,128,0x080,129,0x081,195,0x0C3,,0x000
REPAIR_DURABILITY_ALL,CRepairDurabilityDlg::SendRepairDurabilityAll,,0x000,,0x000,121,0x079,129,0x081,130,0x082,196,0x0C4,109,0x06D
REPAIR_DURABILITY,CRepairDurabilityDlg::SendRepairDurability,,0x000,,0x000,122,0x07A,130,0x082,131,0x083,197,0x0C5,110,0x06E
USER_QUEST_RECORD_SET_STATE,CDamageMeter::SaveDamageInfo,,0x000,,0x000,123,0x07B,131,0x083,132,0x084,198,0x0C6,111,0x06F
UPDATE_CLIENT_TIMER,CUserLocal::UpdateClientTimer,,0x000,,0x000,,0x000,132,0x084,133,0x085,199,0x0C7,112,0x070
FOLLOW_CHARACTER_REQUEST,CWvsContext::SendFollowCharacterRequest,,0x000,,0x000,,0x000,133,0x085,134,0x086,200,0x0C8,116,0x074
,,,0x000,,0x000,,0x000,,0x000,,0x000,201,0x0C9,,0x000
